t,q_J1,q_J2,q_J3,q_J4,q_J5,q_J6,qd_J1,qd_J2,qd_J3,qd_J4,qd_J5,qd_J6,qdd_J1,qdd_J2,qdd_J3,qdd_J4,qdd_J5,qdd_J6
4.6000000000000005,0.541276216506958,2.305121898651123,-2.0738625526428223,3.087775945663452,-3.2299461364746094,-1.56341552734375,-0.2812596559524536,0.974155068397522,0.05445597693324089,1.0437217950820923,-0.4381917417049408,-0.42006975412368774,0.7714550495147705,-2.6719679832458496,-0.14936496317386627,-2.862779378890991,1.201897382736206,1.1521912813186646
4.7,0.5163187980651855,2.3915629386901855,-2.069030284881592,3.1803901195526123,-3.268828868865967,-1.600690245628357,-0.19643527269363403,0.6803621053695679,0.038032736629247665,0.7289483547210693,-0.30603858828544617,-0.2933819890022278,0.8571723103523254,-2.96885347366333,-0.16596107184886932,-3.180866003036499,1.3354413509368896,1.2802125215530396
4.800000000000001,0.5006622076034546,2.4457902908325195,-2.0659990310668945,3.238489866256714,-3.2932214736938477,-1.62407386302948,-0.10268215090036392,0.3556440770626068,0.019880762323737144,0.3810414671897888,-0.1599748432636261,-0.15335887670516968,0.9428895115852356,-3.2657387256622314,-0.18255718052387238,-3.498952865600586,1.4689855575561523,1.4082337617874146
4.9,0.4952366352081299,2.4645814895629883,-2.064948558807373,3.2586233615875244,-3.3016741275787354,-1.6321769952774048,-0.0,0.0,0.0,0.0,-0.0,-0.0,1.028606653213501,-3.5626237392425537,-0.19915328919887543,-3.8170394897460938,1.602529764175415,1.536255121231079
5.0,0.4952366352081299,2.4645814895629883,-2.064948558807373,3.2586233615875244,-3.3016741275787354,-1.6321769952774048,-0.0,-0.0,0.0,0.0,0.0,0.0,-2.79337215423584,-0.47400936484336853,0.09166911989450455,0.302062451839447,1.1659997701644897,3.818080425262451
5.1000000000000005,0.4805026054382324,2.46208119392395,-2.064465045928955,3.26021671295166,-3.2955238819122314,-1.612038016319275,-0.278852254152298,-0.04731864482164383,0.009150996804237366,0.030153801664710045,0.11639755219221115,0.381145179271698,-2.560590982437134,-0.4345085918903351,0.08403002470731735,0.2768905758857727,1.0688331127166748,3.4999072551727295
5.2,0.4379843473434448,2.454866409301758,-2.0630698204040527,3.2648143768310547,-3.277776002883911,-1.5539225339889526,-0.5334565043449402,-0.09052262455224991,0.017506256699562073,0.05768554285168648,0.22267358005046844,0.7291473746299744,-2.327810049057007,-0.39500775933265686,0.07639092952013016,0.2517186999320984,0.9716665148735046,3.1817336082458496
5.300000000000001,0.3702077865600586,2.4433653354644775,-2.0608456134796143,3.2721433639526367,-3.2494850158691406,-1.4612830877304077,-0.7638127207756042,-0.12961193919181824,0.025065774098038673,0.08259520679712296,0.3188280761241913,1.04400634765625,-2.09502911567688,-0.3555070161819458,0.06875184178352356,0.22654683887958527,0.8744998574256897,2.863560199737549
5.4,0.2796986401081085,2.428006649017334,-2.057875394821167,3.281930685043335,-3.211704969406128,-1.3375719785690308,-0.969920814037323,-0.16458658874034882,0.031829554587602615,0.10488279163837433,0.4048610329627991,1.325722336769104,-1.8622478246688843,-0.31600621342658997,0.061112742871046066,0.20137494802474976,0.77733314037323,2.545386791229248
5.5,0.1689828336238861,2.409219264984131,-2.054241895675659,3.29390287399292,-3.1654903888702393,-1.186241626739502,-1.1517809629440308,-0.19544655084609985,0.03779759630560875,0.12454831600189209,0.480772465467453,1.5742952823638916,-1.6294670104980469,-0.2765054702758789,0.05347365140914917,0.17620308697223663,0.6801665425300598,2.2272136211395264
5.6000000000000005,0.040586233139038086,2.3874316215515137,-2.0500285625457764,3.3077871799468994,-3.1118955612182617,-1.010744571685791,-1.309393286705017,-0.22219188511371613,0.042969901114702225,0.14159177243709564,0.5465624332427979,1.7897251844406128,-1.39668607711792,-0.23700468242168427,0.045834559947252274,0.1510312259197235,0.5829998850822449,1.9090402126312256
5.7,-0.10296547412872314,2.363072156906128,-2.0453176498413086,3.323310136795044,-3.0519747734069824,-0.8145331144332886,-1.4427573680877686,-0.24482254683971405,0.04734646901488304,0.15601317584514618,0.6022308468818665,1.9720121622085571,-1.1639049053192139,-0.19750387966632843,0.03819546103477478,0.1258593499660492,0.48583319783210754,1.5908666849136353
5.800000000000001,-0.2591463327407837,2.3365697860717773,-2.040192127227783,3.3401989936828613,-2.9867820739746094,-0.6010594367980957,-1.5518733263015747,-0.26333853602409363,0.050927288830280304,0.16781246662139893,0.6477776765823364,2.1211557388305664,-0.9311239123344421,-0.15800310671329498,0.030556371435523033,0.10068747401237488,0.388666570186615,1.272693395614624
5.9,-0.42543041706085205,2.3083527088165283,-2.0347354412078857,3.358180046081543,-2.917372465133667,-0.3737764358520508,-1.6367415189743042,-0.27773985266685486,0.053712375462055206,0.17698971927165985,0.6832030415534973,2.237156629562378,-0.69834303855896,-0.11850234121084213,0.022917279973626137,0.07551561295986176,0.29149994254112244,0.9545201063156128
